,name,manufacturer,product,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
36,limw*****,쁘리엘르,침구,2021.06.16,5,시어서커이불 얇아서 여름에 덥기 좋네요. 저는 원래 부드러운 이불을 좋아해서 까실까실한 재단인 시어서커는 안맞는거같아요ㅜㅜ그래도 저렴하게 잘사서 다른가족이 아주 잘쓸것같아요^-^,0,99,3,0,0
37,dlwl*******,쁘리엘르,침구,2021.07.13,5,여름이라 애들 침대 이불 바꿔주려고 구매했어요^^ 주문하고 다음날 아침 일찍 발송해주셔서 빠르게 잘 받았어요^^ 보기엔 좀 까칠할것같았는데 만져보니 부드러운 재질인데다 아들이 좋아하는 공룡그림이 있어 너무 좋아합니다^^,0,122,6,0,0
38,alsl**,쁘리엘르,침구,2021.07.03,5,아직 사용은 안해보앗지만 만져보니 까슬거리지 않고 가벼워요ㅋ 인견은 까실해서 못쓰는데 이건 몸에 붙지 않는데 가볍네요ㅎㅎ 쿠*서 다른판매자꺼 구매한 셋트보다 3만언 저렴해요ㅋㅋㅋ,0,99,1,0,0
39,gon8***,쁘리엘르,침구,2021.06.16,5,여름이라도 이불을 덮으려고 하는데 역쉬 냉감이불이 최고인듯 좋은가격에 할인해서 구매하네요. 촉감도 좋고 색감도 마음에드네요.,0,69,0,0,0
40,hklo****,쁘리엘르,침구,2021.07.13,5,여름패드 찾다가 가격도 저렴하고 괜찮아 보여서 주문했어요 아들방에 깔꺼라 블루주문했다가 품절이라 그레이로 왔지만 촉감이 좋네요 빨리 세탁해서 깔아줘야겠어요^^,0,88,2,0,0
41,firs********,쁘리엘르,침구,2021.07.09,5,바느질꼼꼼하고 미끄럼방지도 되어있어 사용하기 좋아요. 시원한 잠자리 될것같네요,0,43,0,0,0
42,yune**,쁘리엘르,침구,2021.06.17,5,배송이 빨랐고 순백의 화이트라 원하던 색감입니다 톡톡하고 가벼운 재질이고 미끄럼방지 있어요 대신 특유의 무늬때문에 쉽게 몸에 자국이 나요. 몸에 열많은 분들에게 추천 1만 6천원 정도에 구매,0,106,0,0,0
43,a1wa**,쁘리엘르,침구,2021.06.22,5,너무 시원해요 여름엔 시어서커 패드가 필수죠 까슬까슬한데 피부에 자극이 가는게 아니라 부드러워요 제 침대거만 우선 주문햇는데 다른방 침대것도 주문해야겠아요오 밀림방지도 잘 되어요!,0,100,0,0,0
44,kk31****,쁘리엘르,침구,2021.07.10,5,핑크보다 베이지가 맞는것 같아요. 편안해요. 촉감 거칠지 않고 부드러운 편이에요 디자인도 괜찮네요. 바로 사용하지 않고 마구 털어내니 실밥 많이 나와요. 그러고 바로 세탁기 돌려서 사용해요.,0,106,0,0,0
45,러블희야,쁘리엘르,침구,2021.07.06,5,까슬하니 시원하겠어요^^ 뒤에 미끄럼방지패드처리되어있구 색상도 이뻐요 저렴하게 잘샀어요,0,48,2,0,0
46,hklo****,쁘리엘르,침구,2021.07.13,5,여름이라 자주 세탁하게 되서 얇고 부피작고 빨리 마르는 패드 찾다가 이거 사용해보니 괜찮아서 아들 방에 쓸려고 하나 더 주문했어요 깔끔하고 좋아요^^,0,83,2,0,0
47,renb*****,쁘리엘르,침구,2021.06.16,5,침구를 얇고 가벼운 면수로 바꾸는 중인데 받을때마다 만족스럽습니다. 다만 세탁을 자주 하다보니 물빠짐이나 헤짐이 빨라서 조금 아쉽기는 합니다.,0,79,0,0,1
48,yess******,쁘리엘르,침구,2021.06.22,5,여름용으로 구입했어요~ 순면이라 피부에도 좋을것 같아요 매트랑 사이즈도 잘 맞고 뒷면에 미끄럼방지가 되어 있어서 밀리지 않아서 좋아요,0,74,1,0,0
49,ems9***,쁘리엘르,침구,2021.06.26,5,간절기 이불 로 핑크와 같이 구매 했는데 개인적으로 민트가 더 예쁜것 같아요. 민트색 좋아하는 딸이 도착하자마자 자기가 사용한다고 찜했어요.ㅎㅎㅎ 보들보들 감촉도 좋고 마감 처리도 좋은것 같아요.,0,109,0,0,0
50,limw*****,쁘리엘르,침구,2021.06.16,5,도톰하니 재질도 부드럽고 감촉이 좋네요. 색상도 사진과같습니다. 배송도 빨리오고 하나더 구입할껄 그랫네요,0,58,0,0,0
51,jaeh*******,쁘리엘르,침구,2021.06.18,5,저렴한 가격 대비 제품은 만족합니다. 배송도 빨랐고요. 다만 좀 얇아요. 안에 배게 솜 커버가 보통 흰색이여서 상관이 없긴 한데 그래도 홑겹에 얇은 천이라 여름에 땀 흘리고 자주 세탁하면 한 두해 정도 사용하지 않을까 합니다. 감사합니다.,0,133,0,0,0
52,fine******,쁘리엘르,침구,2021.07.07,5,5세남아 공룡덕후 이불과 베개도 공룡으로 바꿔줬더니 너무좋아합니다. 시원한 시어서커재질이라 가벼우면서도 에어컨 바람 막아줄수있어서 땀많은 아이들에게 딱 좋네요.,0,89,0,0,0
53,믿음나무,쁘리엘르,침구,2021.07.13,5,여름이불이라 고급스러운 느낌은없어요 하지만 인디핑크의 은은함이 원목침대랑 잘어우려져 딸램들이 좋아하네요 매트고정밴드도 마음에들고요 저렴하기까지ㅎ 잘쓸께요,0,85,0,0,0
54,wh12**,쁘리엘르,침구,2021.07.14,5,가성비 좋아요. 더운 여름에도 땀흘려도 이불을 덮고 자야하는 우리 애들 주려고 샀어요 넘 가슬가슬하면 싫어하는데. 적당하고 시원해서 맘에들어요. 신랑도 하나 하줘겠어요,0,93,0,0,0
55,ii48******,쁘리엘르,침구,2021.06.19,5,"재질은 부들부들하고 좋은데, 천 자체가 살짝 얇은 감 있어요. 헤져서 오래쓰진 못할거 같네요. 그리고 프릴이 4군데 다 있는게 아닙니다. 베개커버 사이즈 50*70이라는데 실제론 그거보다 작아요 48*64정도 됩니다.",0,121,2,0,0
56,has0***,쁘리엘르,침구,2021.06.26,5,"날이 점점더워져서 인견베개커버 구매했습니다. 인견100%이고, 닿았을 때 훨씬 시원한 느낌입니다. 다만 마감이 깔끔하지 않아서 튀어나온 실밥들을 직접 정리했어요.",0,90,1,0,0
57,yseh****,쁘리엘르,침구,2021.06.18,5,와플이불을 갖고 싶었는데 마침 할인중이라 삼만원초반대에 샀어요 모달소재의 이불은 처음였는데 덮었을때 무게감이 살짝느껴지면서 몸에 착 감기네요 이 느낌이 저는 좋은데 딸아이는 가벼운 이불이 좋다고 딴거 덮어요^^,0,117,2,0,0
58,노랭 노랭,쁘리엘르,침구,2021.07.14,5,11절에저렴히사서더욱좋아요무난한그레이라 더워보이지않아요. 사진은 더연하게색이나오네요 바스락 사각한 천이라 여름에 꼭 찾게되는듯해요 빨아서 써보고 좋으면 더주문하고싶어요,0,93,0,0,0
