,product_review_index,product_index,category_index,review_date,review_rating,newline_count,review_len,special_char_count,manufacturer_count,product_count,review_score,c1
81718,8528,45782,42619,2020-06-14,5,61,924,40,0,0,99,1.7337662337662338
81728,8529,68425,61422,2021-02-14,5,32,564,52,6,5,99,4.902482269503546
81771,8534,45782,42619,2019-04-30,5,54,939,27,6,8,99,0.8828541001064962
81807,8538,68425,61422,2019-03-28,5,30,704,79,2,2,99,8.876420454545455
81910,8550,68425,61422,2020-05-24,5,29,511,65,4,3,99,8.317025440313111
82089,8569,68425,61422,2020-02-05,5,23,396,43,2,1,99,4.681818181818182
82216,8583,68425,61422,2020-03-20,5,20,324,39,0,4,99,4.746913580246914
82283,8590,45782,42619,2021-01-11,5,41,945,36,2,1,5,1.3767195767195768
82644,8627,45782,42619,2020-04-05,5,18,484,37,0,1,99,2.8326446280991737
82649,8627,125608,118167,2020-05-19,5,90,1010,46,0,0,99,2.097029702970297
82677,8630,125608,118167,2020-08-27,5,23,653,34,2,5,99,1.8147013782542114
82732,8636,70425,128219,2020-12-07,5,116,1718,26,0,16,99,0.5430733410942957
82755,8638,125608,118167,2019-07-21,5,10,392,40,0,3,99,4.107142857142857
83345,8702,141608,140449,2017-06-24,5,97,1002,35,12,0,99,1.3672654690618762
83363,8704,141608,140449,2021-06-05,5,27,499,48,6,0,99,4.6913827655310625
83988,8771,141608,140449,2021-03-10,5,46,824,158,2,0,99,30.30218446601942
84119,8787,141608,140449,2017-09-13,5,59,982,98,0,0,99,9.782077393075356
84226,8801,68425,61422,2020-01-09,5,38,434,94,0,1,99,20.36405529953917
84231,8801,141608,140449,2021-06-19,5,31,411,158,0,0,97,60.74452554744526
85147,8921,68425,61422,2021-04-04,5,19,374,49,0,2,99,6.433155080213904
85426,8955,167409,159152,2021-07-06,5,63,1453,50,4,0,99,1.7322780454232622
85444,8957,167409,159152,2021-04-17,5,167,1135,88,0,0,99,6.824669603524229
85453,8958,167409,159152,2020-09-05,5,45,1035,33,4,0,99,1.068599033816425
85468,8960,167409,159152,2021-07-06,5,63,1453,50,4,0,99,1.7322780454232622
85484,8962,167409,159152,2021-04-17,5,167,1135,88,0,0,99,6.824669603524229
85491,8963,167409,159152,2020-09-05,5,45,1035,33,4,0,99,1.068599033816425
85738,8997,68425,61422,2020-07-02,5,20,488,32,0,6,99,2.1741803278688523
86974,9171,167409,159152,2020-03-09,5,23,633,41,0,0,99,2.6587677725118484
88024,9342,167409,159152,2021-03-22,5,13,322,29,0,0,99,2.6180124223602483
88059,9347,167409,159152,2021-03-22,5,13,322,29,0,0,99,2.6180124223602483
89567,9578,94257,86123,2021-07-08,5,32,1005,125,6,2,99,15.587064676616915
89574,9579,94257,86123,2021-07-03,5,31,936,124,6,2,99,16.47008547008547
